vendor_id,category,country,years_as_vendor,num_orders_completed,avg_order_value_usd,on_time_delivery_rate,defect_rejection_rate,lead_time_variance_days,price_competitiveness,payment_terms_compliance,rfq_response_time_hours,communication_responsiveness_score,price_volatility_across_quotes,dispute_frequency_per_year,has_iso_certification,reliability_score,risk_tier
V0001,Valves & Actuators,Italy,7.3,31,13600.0,0.481,0.118,8.3,0.939,0.624,29.7,34.1,0.118,1.98,0,55.1,Approved
V0002,Rotating Equipment Spares,China,7.7,37,4500.0,0.265,0.153,11.0,0.899,0.319,36.3,35.1,0.105,1.38,0,38.8,Watchlist
V0003,Industrial Chemicals,Nigeria,6.4,13,21800.0,0.893,0.026,0.2,0.99,0.591,19.0,94.9,0.057,0.0,1,92.2,Preferred
V0004,Safety Equipment (PPE),UAE,1.3,1,8600.0,0.438,0.149,7.3,1.073,0.455,42.6,35.2,0.095,0.0,1,48.0,Watchlist
V0005,Safety Equipment (PPE),China,1.7,8,73100.0,0.704,0.022,3.5,0.832,0.65,6.7,75.7,0.011,1.32,1,76.5,Preferred
V0006,Structural Steel,China,8.3,49,13300.0,0.226,0.188,8.4,1.222,0.512,31.7,25.2,0.19,2.62,0,26.9,High Risk
V0007,Valves & Actuators,United States,10.0,82,1800.0,0.559,0.072,6.3,0.838,0.667,42.1,74.0,0.087,1.36,1,64.8,Approved
V0008,Industrial Chemicals,Singapore,1.4,3,18400.0,0.659,0.142,3.3,0.897,0.431,36.4,84.1,0.01,2.56,0,59.0,Approved
V0009,Instrumentation,Nigeria,3.6,18,76900.0,0.159,0.167,7.6,1.289,0.224,33.1,33.8,0.086,2.83,0,32.3,High Risk
V0010,Valves & Actuators,Italy,8.0,63,55200.0,0.56,0.108,3.4,1.121,0.259,27.1,67.0,0.055,2.7,0,58.7,Approved
V0011,Drilling Tools,Germany,5.2,36,69400.0,0.789,0.047,3.0,0.886,0.609,17.9,87.1,0.021,0.0,1,79.4,Preferred
V0012,Subsea Hardware,United States,5.0,27,5300.0,0.439,0.199,9.9,1.059,0.596,33.3,21.8,0.155,4.11,0,35.6,Watchlist
V0013,Rotating Equipment Spares,India,1.2,10,30400.0,0.132,0.221,11.0,1.108,0.474,50.9,6.7,0.207,4.44,0,11.3,High Risk
V0014,Rotating Equipment Spares,China,3.2,15,7000.0,0.46,0.161,2.9,0.589,0.619,60.6,29.2,0.174,1.81,1,53.3,Watchlist
V0015,Rotating Equipment Spares,China,11.0,66,16300.0,0.141,0.218,6.2,0.909,0.292,40.4,11.3,0.198,3.88,0,14.9,High Risk
V0016,Rotating Equipment Spares,Germany,2.9,27,4200.0,0.233,0.15,8.1,1.009,0.357,41.0,56.5,0.189,0.92,1,42.2,Watchlist
V0017,Drilling Tools,India,1.6,10,7500.0,0.397,0.124,10.9,0.951,0.335,10.5,53.6,0.154,1.43,1,47.0,Watchlist
V0018,Pipes & Fittings,China,1.4,2,7300.0,0.125,0.221,12.4,1.122,0.443,39.5,14.0,0.207,4.78,0,10.7,High Risk
V0019,Structural Steel,Nigeria,2.6,8,30000.0,0.111,0.219,10.2,1.25,0.171,59.3,2.1,0.248,1.7,0,12.6,High Risk
V0020,Safety Equipment (PPE),Nigeria,4.0,11,27500.0,0.717,0.118,6.4,0.928,0.863,30.5,89.8,0.144,1.57,1,68.9,Approved
V0021,Drilling Tools,Germany,3.2,15,17100.0,0.31,0.173,7.1,0.867,0.611,1.0,21.6,0.162,2.65,0,43.2,Watchlist
V0022,Electrical Equipment,Nigeria,10.0,75,4000.0,0.064,0.242,13.3,1.177,0.051,61.2,23.5,0.299,6.19,0,0.0,High Risk
V0023,Pipes & Fittings,United States,0.7,1,10100.0,0.696,0.039,1.1,0.912,0.58,46.0,42.7,0.01,0.0,1,79.0,Preferred
V0024,Subsea Hardware,United Kingdom,3.8,36,6800.0,0.614,0.07,8.6,0.963,0.459,3.6,41.3,0.093,2.75,0,60.3,Approved
V0025,Rotating Equipment Spares,United States,4.9,18,29200.0,0.328,0.225,1.9,0.992,0.331,54.7,7.3,0.137,1.88,1,28.5,High Risk
V0026,Industrial Chemicals,UAE,6.9,36,38600.0,0.345,0.208,12.2,1.402,0.224,8.6,23.9,0.237,2.65,1,23.5,High Risk
V0027,Safety Equipment (PPE),Germany,4.5,23,34600.0,0.665,0.044,2.2,0.622,0.932,33.7,51.0,0.161,0.0,1,83.0,Preferred
